ascii information for file: combined_ASCII_2idd_0397.h5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x pixel no,y pixel no, x position, y position, SRcurrent, us_ic, ds_ic, abs_ic, abs_cfg, H_dpc_cfg, V_dpc_cfg, dia1_dpc_cfg, dia2_dpc_cfg, H_dpc_norm, V_dpc_norm, phase, ELT1, ERT1, ICR1, OCR1, deadT, x_coord, y_coord, Na, Al, Si, P, S, Cl, Ar, K, Ca, Ti, V, Cr, Mn, Fe, Co, Ni, Cu, Zn_L, Mo_L, Se_L, Sn_L, Cd_L, Te_L, s_i, s_e, s_a, TFY, Bkgnd
0,0,0.1965,3.0425,0,79532.4,16121.8,0.202707,0,0,0,0,0,0,0,0,0.22892,0.244832,62021.8,57990.7,6.49943,196.5,3042.5,19.6888,22.1016,15.1341,17.4759,156.012,8.97162,10.3355,33.2995,36.9108,4.44744,1.36094,0.146454,0.079243,0.256462,0.101595,0.133872,5.12298,13.1873,457.233,81.6318,80.7122,144.132,238.226,1230.81,7151.9,16308.3,54164.6,0
0,1,0.1965,3.04265,0,80043.8,15879.6,0.198386,0,0,0,0,0,0,0,0,0.218259,0.232676,61633.1,57814.3,6.19603,196.5,3042.65,13.679,17.0244,13.7368,14.331,159.076,8.08622,12.3734,33.4676,40.3747,4.29252,1.10543,0.152626,0.165165,0.289542,0.144377,0.170516,3.00703,9.162,470.732,63.0162,77.104,140.399,267.473,1113.18,7531.16,16624.4,53359.5,0
0,2,0.1965,3.0428,0,79909.2,15556.6,0.194678,0,0,0,0,0,0,0,0,0.218328,0.234884,63001.5,58560.9,7.0484,196.5,3042.8,34.2444,32.0898,12.7367,13.1548,152.079,9.86858,11.8555,34.7503,38.0942,4.53573,1.10694,0.186799,0.110261,0.234181,0.106021,0.162988,2.94842,22.9364,446.537,110.429,76.3589,151.704,251.009,1293.61,7968.1,17523.4,54891.3,0
0,3,0.1965,3.04295,0,80043.8,15206.7,0.18998,0,0,0,0,0,0,0,0,0.219703,0.23572,65998.1,61513.7,6.79482,196.5,3042.95,13.5891,19.8971,10.1086,19.8723,154.911,7.65653,11.6731,33.7151,42.7216,3.97653,1.22249,0.235858,0.177753,0.232324,0.124304,0.177095,4.40484,9.10179,456.177,75.1225,82.7167,155.116,275.574,1205.99,8228.02,17962.4,57523.3,0
0,4,0.1965,3.0431,0,79801.6,14560.8,0.182462,0,0,0,0,0,0,0,0,0.225443,0.241651,64335.5,60020.6,6.70701,196.5,3043.1,6.64168,27.2291,15.3157,16.2359,153.578,11.165,10.8053,32.3282,41.6367,4.7821,1.29625,0.115275,0.147022,0.140583,0.158894,0.143004,3.48108,8.89698,460.477,67.3127,74.8737,157.139,281.342,1267.82,7437.88,16793.1,56291.2,0
0,5,0.1965,3.04325,0,79990,14076.3,0.175976,0,0,0,0,0,0,0,0,0.225514,0.242482,64306.3,59806.5,6.99746,196.5,3043.25,26.4958,30.066,10.3474,20.5298,157.999,9.29973,11.3799,36.2294,43.2917,4.25924,1.23219,0.164239,0.119969,0.129423,0.130505,0.180154,2.8381,17.7465,467.628,103.751,75.9081,162.469,288.341,1064.79,7156.26,15976.2,55954.6,0
0,6,0.1965,3.0434,0,80205.3,13511.1,0.168456,0,0,0,0,0,0,0,0,0.22708,0.242293,62629.8,58697.6,6.27847,196.5,3043.4,13.1212,30.739,12.6886,16.3241,163.222,9.45318,10.9295,33.2312,43.6506,4.69845,1.04034,0.211469,0.171632,0.235006,0.101559,0.193301,3.73904,8.78837,484.737,93.6918,84.5544,153.241,292.493,953.538,6586.88,14562.3,54184.7,0
0,7,0.1965,3.04355,0,79774.6,13107.4,0.164305,0,0,0,0,0,0,0,0,0.232874,0.248913,60865.4,56943.5,6.44357,196.5,3043.55,25.7276,34.8448,13.8751,17.127,157.067,9.98066,11.8871,33.6856,44.3099,4.48247,1.11801,0.127582,0.207095,0.293231,0.153876,0.109332,3.41695,17.232,467.091,97.7801,80.6986,154.118,284.498,904.678,6169.04,13613.2,52501.5,0
0,8,0.1965,3.0437,0,80124.5,13107.4,0.163587,0,0,0,0,0,0,0,0,0.229704,0.244979,60504,56731.3,6.23533,196.5,3043.7,51.9376,27.5669,6.7611,20.6883,163.976,8.99485,9.88615,35.8997,39.8542,3.87456,1.14829,0.160973,0.274361,0.158561,0.118773,0.103,3.87846,34.787,486.802,56.8254,80.6487,147.478,261.487,1147.97,6452.99,14580.1,51854.4,0
0,9,0.1965,3.04385,0,80016.9,13268.9,0.165826,0,0,0,0,0,0,0,0,0.230499,0.242997,54529.6,51725,5.14334,196.5,3043.85,45.3497,15.1773,11.0841,16.6855,149.63,7.30039,10.9615,32.4255,37.842,3.8664,1.4027,0.160634,0.117336,0.158227,0.100288,0.110125,3.13843,21.6961,440.423,80.5818,65.1878,147.168,243.652,941.61,5671.35,12353.7,46985,0
0,10,0.1965,3.044,0,80151.5,13403.4,0.167226,0,0,0,0,0,0,0,0,0.234286,0.247079,49520.6,46956.6,5.17758,196.5,3044,25.4523,21.4286,10.8866,16.9437,133.901,9.05105,10.9318,30.9174,35.2738,3.67501,1.12545,0.205103,0.10244,0.176128,0.116411,0.0865299,3.0825,17.0476,392.86,85.0086,75.2901,141.184,232.162,835.331,4530.39,10352.1,42354.7,0
0,11,0.1965,3.04415,0,79424.8,12892.1,0.162318,0,0,0,0,0,0,0,0,0.222992,0.234968,54037.8,51283.5,5.09702,196.5,3044.15,40.4792,25.6833,13.5501,17.3758,156.732,8.97333,12.8198,33.1287,39.7003,3.68866,0.987533,0.0836396,0.149343,0.252651,0.123426,0.107035,3.35752,22.5936,472.299,71.4835,74.7987,141.291,251.047,935.376,5314.02,11848.1,46222,0
0,12,0.1965,3.0443,0,79936.2,12784.4,0.159933,0,0,0,0,0,0,0,0,0.222682,0.237131,55842,52439.5,6.09319,196.5,3044.3,26.8509,26.5375,10.4861,20.5119,150.869,8.30832,12.4935,32.5008,36.7957,4.1354,1.20776,0.183085,0.121577,0.240455,0.11336,0.159748,3.21088,17.9843,453.512,77.3099,79.0101,147.928,243.505,926.191,5449.24,12678.9,47788.7,0
0,13,0.1965,3.04445,0,80178.4,12488.3,0.155757,0,0,0,0,0,0,0,0,0.231404,0.244856,54268.7,51287.2,5.49388,196.5,3044.45,12.8804,28.2889,10.5394,18.8358,164.228,9.51761,11.148,31.2366,36.2203,3.42197,1.15872,0.271461,0.0907207,0.220206,0.108758,0.0875782,3.34269,8.62706,484.53,109.773,75.4022,144.352,239.044,858.392,5102.9,11452.4,45822.6,0
0,14,0.1965,3.0446,0,80070.8,12515.3,0.156303,0,0,0,0,0,0,0,0,0.220489,0.233163,52873.3,49999.4,5.43546,196.5,3044.6,33.8403,23.7834,9.06221,20.3856,140.96,7.50164,10.3943,33.1762,34.749,3.25742,1.07324,0.117469,0.136199,0.176318,0.0952457,0.122716,3.24425,18.1326,421.859,59.24,67.2604,148.637,236.642,992.759,5149.65,12035.5,45594.4,0
