ascii information for file: combined_ASCII_2idd_0419.h5.csv
x pixel no, y pixel no, x position, y position, SRcurrent, us_ic, ds_ic, abs_ic, abs_cfg, H_dpc_cfg, V_dpc_cfg, dia1_dpc_cfg, dia2_dpc_cfg, H_dpc_norm, V_dpc_norm, phase, ELT1, ERT1, ICR1, OCR1, deadT, x_coord, y_coord, Na, Mg, Al, Si, P, S, Ar, K, Cr, Fe, Ni, Cu, Zn, Ga, Se, Mo_L, Cd_L, In_L, s_i, s_e, s_a, TFY, Bkgnd
 0,  0,  9.62620,  -0.916400,  0.000000,  3585.00,  47312.5,  13.1974,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.359643,  0.407493,  107910.,  95238.3,  11.7426,  9626.20,  -916.400,  503.749,  88.7138,  78.6799,  19.8614,  15.6287,  9.16678,  6.73629,  8.74915,  0.544263,  0.512480,  0.648058,  47.3349,  52.1538,  22.0671,  112.399,  27.1768,  17.5534,  41.5076,  0.000000,  0.000000,  0.000000,  99188.3,  0.000000
 0,  1,  9.62620,  -0.916200,  0.000000,  3567.50,  47345.0,  13.2712,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.358943,  0.407522,  106081.,  93435.5,  11.9206,  9626.20,  -916.200,  294.508,  129.022,  69.9001,  34.1139,  18.4727,  7.97112,  9.57536,  6.76651,  0.657600,  0.398726,  0.334212,  47.2232,  52.8231,  21.3242,  110.264,  22.3882,  15.4647,  31.5993,  0.000000,  0.000000,  0.000000,  97720.2,  0.000000
 0,  2,  9.62620,  -0.916000,  0.000000,  3552.50,  51860.0,  14.5982,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.359351,  0.407551,  107352.,  94655.6,  11.8269,  9626.20,  -916.000,  475.947,  134.397,  67.7784,  27.1393,  13.7256,  5.04991,  8.40426,  11.3976,  0.476397,  0.588170,  0.462953,  48.4428,  52.1936,  21.7142,  112.198,  17.4667,  20.4985,  44.9888,  0.000000,  0.000000,  0.000000,  99304.6,  0.000000
 0,  3,  9.62620,  -0.915800,  0.000000,  3550.00,  54672.5,  15.4007,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.357553,  0.407490,  110356.,  96831.8,  12.2548,  9626.20,  -915.800,  379.640,  100.125,  47.0118,  22.5480,  13.1141,  8.04155,  8.25121,  11.2054,  0.479130,  0.544219,  0.513774,  49.4739,  53.7123,  22.3279,  116.485,  27.6052,  21.7304,  46.7894,  0.000000,  0.000000,  0.000000,  102183.,  0.000000
 0,  4,  9.62620,  -0.915600,  0.000000,  3520.00,  55155.0,  15.6690,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.357645,  0.407781,  109704.,  96215.9,  12.2948,  9626.20,  -915.600,  449.348,  106.000,  71.1004,  31.1101,  18.0940,  8.10801,  8.52232,  11.2980,  0.743214,  0.596432,  0.469456,  51.3301,  52.4277,  22.2275,  116.407,  26.5681,  25.2808,  47.1760,  0.000000,  0.000000,  0.000000,  102201.,  0.000000
 0,  5,  9.62620,  -0.915400,  0.000000,  3510.00,  55320.0,  15.7607,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.358631,  0.407526,  109257.,  96148.4,  11.9981,  9626.20,  -915.400,  649.117,  90.8651,  54.5153,  19.1464,  13.9197,  9.81585,  7.71137,  10.6497,  0.594626,  0.620345,  0.469499,  50.6182,  51.5560,  23.1503,  117.892,  29.1011,  24.1594,  45.6249,  0.000000,  0.000000,  0.000000,  102374.,  0.000000
 0,  6,  9.62620,  -0.915200,  0.000000,  3467.50,  54640.0,  15.7578,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.358773,  0.407649,  107430.,  94549.6,  11.9896,  9626.20,  -915.200,  471.558,  127.698,  81.5433,  29.0601,  17.6059,  12.0914,  5.74943,  11.1702,  0.413652,  0.820838,  0.589736,  50.4932,  51.6375,  22.7703,  117.862,  33.2869,  22.1718,  47.2151,  0.000000,  0.000000,  0.000000,  101625.,  0.000000
 0,  7,  9.62620,  -0.915000,  0.000000,  3432.50,  56295.0,  16.4006,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.359775,  0.407748,  106330.,  93820.2,  11.7654,  9626.20,  -915.000,  458.074,  87.4757,  57.9850,  29.2747,  14.1887,  12.1807,  7.23985,  12.5765,  0.909177,  0.559373,  0.495075,  50.5009,  54.3641,  22.2234,  114.987,  36.1121,  20.0447,  48.6207,  0.000000,  0.000000,  0.000000,  101968.,  0.000000
 0,  8,  9.62620,  -0.914800,  0.000000,  3402.50,  53962.5,  15.8597,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.361590,  0.407780,  103598.,  91863.1,  11.3272,  9626.20,  -914.800,  442.763,  144.618,  58.2025,  30.6089,  12.1057,  7.42316,  7.88990,  11.0291,  0.570368,  0.537060,  0.745399,  47.7137,  52.0894,  22.9348,  115.789,  20.7129,  17.8205,  44.0289,  0.000000,  0.000000,  0.000000,  100234.,  0.000000
 0,  9,  9.62620,  -0.914600,  0.000000,  3432.50,  51180.0,  14.9104,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.362082,  0.407473,  103582.,  92042.8,  11.1398,  9626.20,  -914.600,  522.587,  112.483,  74.4201,  32.7243,  10.5738,  4.32253,  7.19373,  11.1810,  0.602257,  0.555810,  0.623100,  49.3082,  52.2793,  22.2928,  113.911,  17.9410,  21.6241,  43.5849,  0.000000,  0.000000,  0.000000,  99503.8,  0.000000
 0,  10,  9.62620,  -0.914400,  0.000000,  3422.50,  49515.0,  14.4675,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.361112,  0.407790,  103126.,  91321.6,  11.4464,  9626.20,  -914.400,  627.234,  143.963,  70.0097,  32.9080,  13.4686,  7.82423,  8.47425,  12.3020,  0.567785,  0.680436,  0.461704,  46.7387,  52.2504,  22.2058,  113.498,  24.4852,  23.4623,  50.1664,  0.000000,  0.000000,  0.000000,  99468.1,  0.000000
 0,  11,  9.62620,  -0.914200,  0.000000,  3437.50,  46772.5,  13.6065,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.360785,  0.407305,  103785.,  91931.1,  11.4214,  9626.20,  -914.200,  422.340,  71.7326,  86.6078,  29.1503,  19.0734,  9.09668,  8.23894,  10.2821,  0.678984,  0.556995,  0.525835,  49.5589,  51.7359,  21.5838,  112.737,  25.6847,  18.8189,  43.1516,  0.000000,  0.000000,  0.000000,  99521.4,  0.000000
 0,  12,  9.62620,  -0.914000,  0.000000,  3440.00,  48900.0,  14.2151,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.360753,  0.407338,  103938.,  92051.4,  11.4364,  9626.20,  -914.000,  472.719,  143.374,  57.7017,  23.0626,  8.47166,  6.49349,  5.96943,  10.8025,  0.716249,  0.605044,  0.706141,  47.2160,  51.5671,  22.3372,  114.337,  16.6845,  28.4954,  44.1759,  0.000000,  0.000000,  0.000000,  99527.5,  0.000000
 0,  13,  9.62620,  -0.913800,  0.000000,  3470.00,  51472.5,  14.8336,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.359851,  0.407763,  106194.,  93716.2,  11.7498,  9626.20,  -913.800,  486.585,  127.223,  76.4615,  34.9839,  13.3308,  9.89533,  6.34179,  12.5689,  0.487045,  0.601316,  0.571224,  48.1386,  52.9184,  22.1112,  114.968,  26.7857,  25.4878,  49.1303,  0.000000,  0.000000,  0.000000,  100665.,  0.000000
 0,  14,  9.62620,  -0.913600,  0.000000,  3470.00,  53345.0,  15.3732,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.360195,  0.407689,  104602.,  92416.1,  11.6494,  9626.20,  -913.600,  402.306,  116.934,  71.6142,  32.5401,  8.41141,  7.73677,  8.37952,  11.1181,  0.786014,  0.744919,  0.391323,  48.2081,  53.6403,  21.9796,  111.848,  22.9373,  20.3708,  42.2953,  0.000000,  0.000000,  0.000000,  99150.8,  0.000000
 0,  15,  9.62620,  -0.913400,  0.000000,  3480.00,  55312.5,  15.8944,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.359181,  0.407574,  106228.,  93614.9,  11.8733,  9626.20,  -913.400,  335.236,  142.346,  38.1920,  31.3331,  12.6164,  6.44693,  7.15283,  9.67869,  0.711114,  0.408480,  0.505429,  48.9125,  54.7160,  22.2985,  112.707,  20.3875,  19.8037,  40.7264,  0.000000,  0.000000,  0.000000,  100472.,  0.000000
 0,  16,  9.62620,  -0.913200,  0.000000,  3510.00,  55682.5,  15.8640,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.359019,  0.407785,  108838.,  95822.5,  11.9588,  9626.20,  -913.200,  415.651,  146.236,  71.0301,  22.7118,  14.5999,  8.52630,  9.93287,  12.5842,  0.816727,  0.524341,  0.630713,  49.2894,  54.0297,  23.3333,  115.197,  24.0141,  30.8681,  49.2010,  0.000000,  0.000000,  0.000000,  101935.,  0.000000
 0,  17,  9.62620,  -0.913000,  0.000000,  3512.50,  54247.5,  15.4441,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.357963,  0.407587,  108383.,  95187.0,  12.1750,  9626.20,  -913.000,  483.233,  96.0237,  59.3241,  33.5449,  15.3293,  6.40902,  8.93924,  11.7021,  0.855759,  0.573286,  0.599706,  49.6004,  51.5788,  22.2222,  116.378,  21.5343,  24.1872,  48.7919,  0.000000,  0.000000,  0.000000,  101209.,  0.000000
 0,  18,  9.62620,  -0.912800,  0.000000,  3525.00,  48665.0,  13.8057,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.360092,  0.407413,  106373.,  94017.5,  11.6150,  9626.20,  -912.800,  561.202,  120.148,  72.8676,  27.2947,  13.1140,  12.2738,  9.25737,  9.78855,  0.442269,  0.378584,  0.577991,  47.5832,  52.0941,  23.0778,  113.536,  35.1335,  23.9589,  44.2181,  0.000000,  0.000000,  0.000000,  99365.1,  0.000000
 0,  19,  9.62620,  -0.912600,  0.000000,  3527.50,  43310.0,  12.2778,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.359339,  0.407748,  107027.,  94320.5,  11.8723,  9626.20,  -912.600,  512.394,  75.1969,  82.3839,  29.7093,  12.4410,  8.90027,  8.06105,  10.7050,  0.848858,  0.781912,  0.594870,  48.8873,  53.6775,  22.6744,  112.441,  26.3867,  22.3183,  44.7943,  0.000000,  0.000000,  0.000000,  99821.2,  0.000000
 0,  20,  9.62620,  -0.912400,  0.000000,  3507.50,  40222.5,  11.4676,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.358575,  0.407781,  107439.,  94474.8,  12.0666,  9626.20,  -912.400,  383.145,  126.311,  73.5410,  28.7446,  17.4147,  7.68864,  9.34292,  10.5289,  0.706731,  0.525363,  0.680554,  48.8835,  52.7095,  22.6657,  115.666,  22.7945,  22.4933,  43.5889,  0.000000,  0.000000,  0.000000,  100719.,  0.000000
 0,  21,  9.62620,  -0.912200,  0.000000,  3480.00,  38492.5,  11.0611,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.358916,  0.407627,  106404.,  93688.6,  11.9500,  9626.20,  -912.200,  385.807,  132.276,  66.8856,  24.1202,  17.5357,  11.1830,  6.54457,  10.0785,  0.561822,  0.553059,  0.375273,  47.7643,  52.4499,  23.1214,  114.229,  31.8790,  18.1197,  38.6665,  0.000000,  0.000000,  0.000000,  100431.,  0.000000
 0,  22,  9.62620,  -0.912000,  0.000000,  3457.50,  35247.5,  10.1945,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.360640,  0.407628,  105917.,  93708.0,  11.5272,  9626.20,  -912.000,  420.066,  76.4425,  83.7486,  42.2819,  14.0524,  8.61686,  6.96540,  9.83338,  0.862920,  0.457649,  0.588380,  49.2342,  52.2930,  23.0278,  114.924,  22.9918,  21.5536,  37.1618,  0.000000,  0.000000,  0.000000,  100689.,  0.000000
